Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,Change %
7463.13,7922.64,7410.0,7833.55,1664.21044306,12760079.367935,7667.3472523538,0.05
7491.24,7597.5,7389.49,7470.25,883.87428704,6612672.8917673,7481.4631319488,-0.0
7463.13,7922.64,7410.0,7833.55,1664.21044306,12760079.367935,7667.3472523538,0.05
7175.94,7575.46,7088.36,7490.45,1816.72045258,13342613.26327,7344.340316267,0.04
7491.24,7597.5,7389.49,7470.25,883.87428704,6612672.8917673,7481.4631319488,-0.0
7437.71,7456.51,7103.5,7176.25,1141.97491307,8263954.1877195,7236.5461737713,-0.04
7175.94,7575.46,7088.36,7490.45,1816.72045258,13342613.26327,7344.340316267,0.04
7431.0,7479.69,7319.87,7437.71,557.12674498,4117962.7669598,7391.428977454,0.0
7437.71,7456.51,7103.5,7176.25,1141.97491307,8263954.1877195,7236.5461737713,-0.04
7522.85,7522.85,7307.78,7431.0,895.4048397,6651378.994184,7428.3482725116,-0.01
7431.0,7479.69,7319.87,7437.71,557.12674498,4117962.7669598,7391.428977454,0.0
7667.0,7684.79,7360.68,7513.0,996.18119645,7474975.5580497,7503.6304486448,-0.02
7522.85,7522.85,7307.78,7431.0,895.4048397,6651378.994184,7428.3482725116,-0.01
7620.62,7674.46,7476.79,7648.06,1044.20760517,7884543.4460469,7550.74317311,0.0
7667.0,7684.79,7360.68,7513.0,996.18119645,7474975.5580497,7503.6304486448,-0.02
7630.52,7830.51,7525.78,7622.89,1687.3288966,12972560.479793,7688.2227916164,-0.0
7620.62,7674.46,7476.79,7648.06,1044.20760517,7884543.4460469,7550.74317311,0.0
7373.41,7674.22,7053.43,7629.67,2381.07509807,17595855.938248,7389.8786109309,0.03
7630.52,7830.51,7525.78,7622.89,1687.3288966,12972560.479793,7688.2227916164,-0.0
7524.73,7540.61,7215.9,7373.73,769.64940112,5651181.0333267,7342.5393758548,-0.02
7373.41,7674.22,7053.43,7629.67,2381.07509807,17595855.938248,7389.8786109309,0.03
7502.06,7640.0,7345.07,7519.19,899.19670541,6728033.8115124,7482.2714218517,0.0
7524.73,7540.61,7215.9,7373.73,769.64940112,5651181.0333267,7342.5393758548,-0.02
7390.0,7575.0,7177.61,7501.42,1904.875597,14024236.590981,7362.2847670831,0.01
7502.06,7640.0,7345.07,7519.19,899.19670541,6728033.8115124,7482.2714218517,0.0
7709.43,7767.11,7050.89,7381.66,3287.96848352,24399605.433924,7420.875703712,-0.04
7390.0,7575.0,7177.61,7501.42,1904.875597,14024236.590981,7362.2847670831,0.01
7757.78,7971.46,7473.29,7704.92,2662.42398652,20420469.514223,7669.878883909,-0.01
7709.43,7767.11,7050.89,7381.66,3287.96848352,24399605.433924,7420.875703712,-0.04
8817.0,8912.98,7251.78,7759.08,5368.96444048,43168388.60154,8040.3565864706,-0.12
7757.78,7971.46,7473.29,7704.92,2662.42398652,20420469.514223,7669.878883909,-0.01
9118.93,9134.65,8753.01,8820.56,1097.07939611,9826019.1387747,8956.5250916347,-0.03
8817.0,8912.98,7251.78,7759.08,5368.96444048,43168388.60154,8040.3565864706,-0.12
9074.28,9169.85,8951.0,9109.0,433.15028743,3925582.1828371,9062.8640838003,0.0
9118.93,9134.65,8753.01,8820.56,1097.07939611,9826019.1387747,8956.5250916347,-0.03
9242.3,9242.3,9015.0,9072.07,608.56275456,5534521.4004895,9094.4136147325,-0.02
9074.28,9169.85,8951.0,9109.0,433.15028743,3925582.1828371,9062.8640838003,0.0
9320.0,9334.82,9152.0,9241.08,775.82303746,7161890.8418769,9231.3459333774,-0.01
9242.3,9242.3,9015.0,9072.07,608.56275456,5534521.4004895,9094.4136147325,-0.02
9218.07,9401.0,8722.01,9300.2,2049.70334969,18451331.261586,9001.952045586,0.01
9320.0,9334.82,9152.0,9241.08,775.82303746,7161890.8418769,9231.3459333774,-0.01
9198.08,9271.36,9138.56,9217.28,776.51626189,7161158.6202495,9222.1618164437,0.0
9218.07,9401.0,8722.01,9300.2,2049.70334969,18451331.261586,9001.952045586,0.01
9327.75,9342.08,9183.15,9202.53,946.03042601,8756766.5295103,9256.3265289924,-0.01
9198.08,9271.36,9138.56,9217.28,776.51626189,7161158.6202495,9222.1618164437,0.0
9318.75,9415.29,9165.0,9338.78,836.82965976,7764123.0155242,9278.0208313254,0.0
9327.75,9342.08,9183.15,9202.53,946.03042601,8756766.5295103,9256.3265289924,-0.01
9360.46,9392.78,9273.97,9318.75,343.02233424,3196358.8756638,9318.2237907208,-0.0
9318.75,9415.29,9165.0,9338.78,836.82965976,7764123.0155242,9278.0208313254,0.0
9357.27,9432.4,9233.87,9367.51,351.24704742,3282909.6630165,9346.440595388,0.0
9360.46,9392.78,9273.97,9318.75,343.02233424,3196358.8756638,9318.2237907208,-0.0
9444.36,9450.0,9163.65,9360.0,794.82886976,7395334.272483,9304.3100896877,-0.01
9357.27,9432.4,9233.87,9367.51,351.24704742,3282909.6630165,9346.440595388,0.0
9238.65,9462.5,9125.04,9427.3,1177.15815993,10952911.449852,9304.5368266428,0.02
9444.36,9450.0,9163.65,9360.0,794.82886976,7395334.272483,9304.3100896877,-0.01
9144.21,9324.05,8932.73,9240.44,989.35708359,9041497.9793035,9138.7610492416,0.01
9238.65,9462.5,9125.04,9427.3,1177.15815993,10952911.449852,9304.5368266428,0.02
9351.12,9410.62,8974.33,9160.14,1035.15205312,9528023.6552637,9204.4677171298,-0.02
9144.21,9324.05,8932.73,9240.44,989.35708359,9041497.9793035,9138.7610492416,0.01
9450.21,9550.0,9113.71,9353.57,1034.67673269,9632763.8955896,9309.9260776318,-0.01
9351.12,9410.62,8974.33,9160.14,1035.15205312,9528023.6552637,9204.4677171298,-0.02
9503.0,9604.99,9280.0,9457.83,613.92750141,5796247.4137305,9441.2571523809,-0.0
9450.21,9550.0,9113.71,9353.57,1034.67673269,9632763.8955896,9309.9260776318,-0.01
9349.8,9596.83,9349.8,9510.07,454.33307891,4301622.5857495,9467.9933850946,0.02
9503.0,9604.99,9280.0,9457.83,613.92750141,5796247.4137305,9441.2571523809,-0.0
9597.32,9928.65,9234.0,9349.79,2384.15062181,22967738.461539,9633.5098342495,-0.03
9349.8,9596.83,9349.8,9510.07,454.33307891,4301622.5857495,9467.9933850946,0.02
9598.31,9652.0,9463.54,9597.34,833.48469769,7979633.1502981,9573.820818083,-0.0
9597.32,9928.65,9234.0,9349.79,2384.15062181,22967738.461539,9633.5098342495,-0.03
9677.38,9825.65,9412.97,9581.73,1553.61188895,14885227.022597,9581.046031166,-0.01
9598.31,9652.0,9463.54,9597.34,833.48469769,7979633.1502981,9573.820818083,-0.0
9478.49,9836.78,9391.41,9691.64,1931.98695467,18594450.855199,9624.5219514824,0.02
9677.38,9825.65,9412.97,9581.73,1553.61188895,14885227.022597,9581.046031166,-0.01
8893.95,9584.97,8878.92,9479.61,1859.28196048,17020854.83189,9154.5312618943,0.06
9478.49,9836.78,9391.41,9691.64,1931.98695467,18594450.855199,9624.5219514824,0.02
8755.71,8958.48,8685.0,8893.97,558.26770367,4907580.3164127,8790.7294012366,0.02
8893.95,9584.97,8878.92,9479.61,1859.28196048,17020854.83189,9154.5312618943,0.06
8729.85,8835.18,8602.12,8765.54,566.77463011,4955808.3899141,8743.8783012434,0.0
8755.71,8958.48,8685.0,8893.97,558.26770367,4907580.3164127,8790.7294012366,0.02
8600.4,8847.59,8459.42,8738.96,1259.23597928,10949567.040909,8695.4051671627,0.02
8729.85,8835.18,8602.12,8765.54,566.77463011,4955808.3899141,8743.8783012434,0.0
8775.76,8775.76,8421.0,8575.1,1453.56171931,12469576.379374,8578.6356463026,-0.02
8600.4,8847.59,8459.42,8738.96,1259.23597928,10949567.040909,8695.4051671627,0.02
9186.74,9322.42,8558.74,8786.58,1876.31759448,16786129.331146,8946.3155813971,-0.04
8775.76,8775.76,8421.0,8575.1,1453.56171931,12469576.379374,8578.6356463026,-0.02
9346.1,9358.64,9038.11,9179.51,1064.94782705,9734766.9910352,9141.0740918655,-0.02
9186.74,9322.42,8558.74,8786.58,1876.31759448,16786129.331146,8946.3155813971,-0.04
9102.55,9575.28,9102.55,9339.17,1275.22547369,11911694.931029,9340.8539719341,0.03
9346.1,9358.64,9038.11,9179.51,1064.94782705,9734766.9910352,9141.0740918655,-0.02
9127.97,9300.0,8900.0,9102.55,630.92399089,5722735.7032043,9070.4043368705,-0.0
9102.55,9575.28,9102.55,9339.17,1275.22547369,11911694.931029,9340.8539719341,0.03
9355.18,9365.68,8877.61,9118.0,686.23347788,6212784.7013047,9053.4561509562,-0.03
9127.97,9300.0,8900.0,9102.55,630.92399089,5722735.7032043,9070.4043368705,-0.0
9123.65,9446.0,9050.0,9349.31,1171.0047618,10872166.398827,9284.4766763502,0.02
9355.18,9365.68,8877.61,9118.0,686.23347788,6212784.7013047,9053.4561509562,-0.03
9150.75,9239.45,8800.0,9134.42,1504.78917724,13631642.729841,9058.8388965182,-0.0
9123.65,9446.0,9050.0,9349.31,1171.0047618,10872166.398827,9284.4766763502,0.02
9712.88,9730.84,8872.25,9148.86,2324.24854883,21181581.149218,9113.3029468303,-0.06
9150.75,9239.45,8800.0,9134.42,1504.78917724,13631642.729841,9058.8388965182,-0.0
9854.03,9890.0,9534.16,9695.0,913.37116351,8844385.0373821,9683.2321740857,-0.02
9712.88,9730.84,8872.25,9148.86,2324.24854883,21181581.149218,9113.3029468303,-0.06
9308.63,9866.0,9254.05,9854.03,1145.76862899,11040527.186725,9635.9133138928,0.06
9854.03,9890.0,9534.16,9695.0,913.37116351,8844385.0373821,9683.2321740857,-0.02
9220.82,9490.0,9095.0,9320.98,473.77763155,4422034.3429351,9333.5650492153,0.01
9308.63,9866.0,9254.05,9854.03,1145.76862899,11040527.186725,9635.9133138928,0.06
9330.65,9455.25,9004.0,9215.49,563.19432752,5208437.3041464,9248.0286992262,-0.01
9220.82,9490.0,9095.0,9320.98,473.77763155,4422034.3429351,9333.5650492153,0.01
9260.32,9504.0,8763.37,9348.44,1771.88586854,16227838.83005,9158.5124742947,0.01
9330.65,9455.25,9004.0,9215.49,563.19432752,5208437.3041464,9248.0286992262,-0.01
8985.1,9414.32,8500.0,9281.09,3195.62873964,28610565.496802,8953.0317279676,0.03
9260.32,9504.0,8763.37,9348.44,1771.88586854,16227838.83005,9158.5124742947,0.01
9720.08,9720.08,8868.7,8985.93,2285.19919125,21248127.062087,9298.1509635774,-0.08
8985.1,9414.32,8500.0,9281.09,3195.62873964,28610565.496802,8953.0317279676,0.03
10157.37,10211.93,9600.0,9713.82,1369.60654923,13488946.596995,9848.7748942047,-0.04
9720.08,9720.08,8868.7,8985.93,2285.19919125,21248127.062087,9298.1509635774,-0.08
10280.13,10304.16,10030.05,10157.36,786.89658606,7991620.849411,10155.871801942,-0.01
10157.37,10211.93,9600.0,9713.82,1369.60654923,13488946.596995,9848.7748942047,-0.04
10071.67,10341.0,9902.55,10317.33,752.22256733,7630832.0438222,10144.380633125,0.02
10280.13,10304.16,10030.05,10157.36,786.89658606,7991620.849411,10155.871801942,-0.01
10596.28,10680.62,10030.0,10089.74,1189.30697889,12216312.959832,10271.791199976,-0.05
10071.67,10341.0,9902.55,10317.33,752.22256733,7630832.0438222,10144.380633125,0.02
10712.69,10757.77,10372.76,10580.4,1285.97609947,13558154.25012,10543.0841644,-0.01
10596.28,10680.62,10030.0,10089.74,1189.30697889,12216312.959832,10271.791199976,-0.05
10701.12,10778.93,10243.25,10714.91,1187.62439203,12473238.00962,10502.679208449,0.0
10712.69,10757.77,10372.76,10580.4,1285.97609947,13558154.25012,10543.0841644,-0.01
10220.91,10843.35,10150.02,10698.34,1939.84782876,20397050.018617,10514.768074182,0.04
10701.12,10778.93,10243.25,10714.91,1187.62439203,12473238.00962,10502.679208449,0.0
10515.28,11000.0,10009.66,10232.75,2850.48384057,30121316.332072,10567.088963412,-0.03
10220.91,10843.35,10150.02,10698.34,1939.84782876,20397050.018617,10514.768074182,0.04
9886.42,10662.01,9886.42,10475.0,2143.22612486,22431410.843436,10466.189537001,0.06
10515.28,11000.0,10009.66,10232.75,2850.48384057,30121316.332072,10567.088963412,-0.03
9731.93,9969.88,9501.21,9886.47,873.4752048,8522215.4271984,9756.6769844941,0.02
9886.42,10662.01,9886.42,10475.0,2143.22612486,22431410.843436,10466.189537001,0.06
9486.15,9830.52,9457.59,9740.0,679.11780469,6594364.8300915,9710.1928186107,0.03
9731.93,9969.88,9501.21,9886.47,873.4752048,8522215.4271984,9756.6769844941,0.02
9400.0,9612.85,9310.29,9486.44,1275.87927464,12076838.371489,9465.5024276468,0.01
9486.15,9830.52,9457.59,9740.0,679.11780469,6594364.8300915,9710.1928186107,0.03
9113.96,9470.41,8952.45,9390.14,1215.76177488,11154971.111278,9175.2935005536,0.03
9400.0,9612.85,9310.29,9486.44,1275.87927464,12076838.371489,9465.5024276468,0.01
8604.43,9120.0,8590.5,9113.98,1354.6061531,12063641.319548,8905.6448562118,0.06
9113.96,9470.41,8952.45,9390.14,1215.76177488,11154971.111278,9175.2935005536,0.03
8529.8,8770.6,8403.69,8591.3,915.80074857,7862256.6625128,8585.1170953829,0.01
8604.43,9120.0,8590.5,9113.98,1354.6061531,12063641.319548,8905.6448562118,0.06
8579.21,8740.7,8400.1,8529.57,981.30332694,8394555.2935053,8554.4959066653,-0.01
8529.8,8770.6,8403.69,8591.3,915.80074857,7862256.6625128,8585.1170953829,0.01
8529.83,8675.37,8200.0,8563.17,649.47252795,5516433.9032434,8493.7139999679,0.0
8579.21,8740.7,8400.1,8529.57,981.30332694,8394555.2935053,8554.4959066653,-0.01
8837.15,9183.0,8355.0,8529.85,1557.62803242,13433907.58101,8624.5928433496,-0.03
8529.83,8675.37,8200.0,8563.17,649.47252795,5516433.9032434,8493.7139999679,0.0
8882.42,8909.99,8652.68,8853.45,1029.87874607,9054985.7137857,8792.2833132924,-0.0
8837.15,9183.0,8355.0,8529.85,1557.62803242,13433907.58101,8624.5928433496,-0.03
8779.92,9149.9,8740.04,8880.57,1192.07107953,10726018.363371,8997.8010099868,0.01
8882.42,8909.99,8652.68,8853.45,1029.87874607,9054985.7137857,8792.2833132924,-0.0
8852.69,8924.6,8540.0,8766.97,1770.99264351,15441913.437949,8719.3549304327,-0.01
8779.92,9149.9,8740.04,8880.57,1192.07107953,10726018.363371,8997.8010099868,0.01
9228.9,9228.9,8800.0,8800.02,1373.22506712,12334429.005797,8982.0884435683,-0.05
8852.69,8924.6,8540.0,8766.97,1770.99264351,15441913.437949,8719.3549304327,-0.01
9459.04,9532.66,8989.19,9203.18,1435.23574607,13241167.159994,9225.778549797,-0.03
9228.9,9228.9,8800.0,8800.02,1373.22506712,12334429.005797,8982.0884435683,-0.05
9610.89,9666.75,9202.17,9449.01,861.13482861,8093245.9837892,9398.3493814237,-0.02
9459.04,9532.66,8989.19,9203.18,1435.23574607,13241167.159994,9225.778549797,-0.03
9405.57,9929.7,9230.0,9590.37,1237.89788429,11864460.046187,9584.3608723765,0.02
9610.89,9666.75,9202.17,9449.01,861.13482861,8093245.9837892,9398.3493814237,-0.02
9469.2,9589.0,8996.77,9405.59,1928.07040351,17900975.018055,9284.3990476004,-0.01
9405.57,9929.7,9230.0,9590.37,1237.89788429,11864460.046187,9584.3608723765,0.02
8658.17,9599.1,8275.0,9469.19,2583.36668914,23357155.879251,9041.3629537922,0.09
9469.2,9589.0,8996.77,9405.59,1928.07040351,17900975.018055,9284.3990476004,-0.01
8421.05,8913.61,8090.0,8648.16,2880.2883126,24536006.879436,8518.5940491101,0.03
8658.17,9599.1,8275.0,9469.19,2583.36668914,23357155.879251,9041.3629537922,0.09
9658.34,9817.69,8355.0,8399.53,3367.47470564,30177232.199041,8961.3834807724,-0.13
8421.05,8913.61,8090.0,8648.16,2880.2883126,24536006.879436,8518.5940491101,0.03
9062.76,9854.87,8764.0,9635.14,2343.66821002,21676941.528112,9249.1511534935,0.06
9658.34,9817.69,8355.0,8399.53,3367.47470564,30177232.199041,8961.3834807724,-0.13
10119.2,10180.0,8969.99,9044.46,1731.00496854,16362150.469187,9452.3994827051,-0.11
9062.76,9854.87,8764.0,9635.14,2343.66821002,21676941.528112,9249.1511534935,0.06
10492.57,10519.97,9623.0,10121.29,1342.55899049,13423409.538545,9998.375962345,-0.04
10119.2,10180.0,8969.99,9044.46,1731.00496854,16362150.469187,9452.3994827051,-0.11
10090.01,10595.0,9824.22,10492.41,1247.45867958,12867618.104504,10315.065593064,0.04
10492.57,10519.97,9623.0,10121.29,1342.55899049,13423409.538545,9998.375962345,-0.04
10764.17,10764.18,9710.67,10089.99,3202.5415789,32678036.511731,10203.782123246,-0.06
10090.01,10595.0,9824.22,10492.41,1247.45867958,12867618.104504,10315.065593064,0.04
11232.41,11747.49,10226.41,10779.98,4650.205775,51588286.207007,11093.764169395,-0.04
10764.17,10764.18,9710.67,10089.99,3202.5415789,32678036.511731,10203.782123246,-0.06
10985.4,11465.56,10830.0,11227.67,2934.04830356,32707790.521338,11147.666001835,0.02
11232.41,11747.49,10226.41,10779.98,4650.205775,51588286.207007,11093.764169395,-0.04
10226.36,11061.38,10100.5,10974.07,2103.13487306,22404743.40836,10653.022635568,0.07
10985.4,11465.56,10830.0,11227.67,2934.04830356,32707790.521338,11147.666001835,0.02
10010.0,10365.0,9867.61,10206.65,1082.22336185,10957211.227333,10124.72250516,0.02
10226.36,11061.38,10100.5,10974.07,2103.13487306,22404743.40836,10653.022635568,0.07
9816.28,10444.46,9785.23,10024.36,1160.0544637,11797757.340827,10170.002969686,0.02
10010.0,10365.0,9867.61,10206.65,1082.22336185,10957211.227333,10124.72250516,0.02
9890.52,10233.53,9561.01,9798.88,2104.77121257,20793222.62468,9879.0892333096,-0.01
9816.28,10444.46,9785.23,10024.36,1160.0544637,11797757.340827,10170.002969686,0.02
10622.99,10679.21,9794.36,9896.55,2222.72578508,23029415.538367,10360.889180731,-0.07
9890.52,10233.53,9561.01,9798.88,2104.77121257,20793222.62468,9879.0892333096,-0.01
9599.59,10651.48,9590.69,10604.46,3401.97478104,34223030.773481,10059.75440036,0.09
10622.99,10679.21,9794.36,9896.55,2222.72578508,23029415.538367,10360.889180731,-0.07
9350.04,9685.95,8504.18,9585.84,3793.33890993,34404703.939622,9069.7680214016,0.02
9599.59,10651.48,9590.69,10604.46,3401.97478104,34223030.773481,10059.75440036,0.09
9461.83,9843.94,8806.17,9308.08,2974.52768574,27528340.058411,9254.6928342214,-0.02
9350.04,9685.95,8504.18,9585.84,3793.33890993,34404703.939622,9069.7680214016,0.02
10449.24,10698.0,9320.0,9462.07,1702.94331625,16877628.641688,9910.8575609277,-0.09
9461.83,9843.94,8806.17,9308.08,2974.52768574,27528340.058411,9254.6928342214,-0.02
10863.49,10864.1,9950.07,10432.8,1781.68027933,18554677.408029,10414.145356656,-0.04
10449.24,10698.0,9320.0,9462.07,1702.94331625,16877628.641688,9910.8575609277,-0.09
9789.99,10920.0,9432.09,10870.27,3231.00400518,33244245.063868,10289.137683076,0.1
10863.49,10864.1,9950.07,10432.8,1781.68027933,18554677.408029,10414.145356656,-0.04
11342.31,11715.61,9001.01,9790.0,7147.00743914,72213247.303898,10103.983788855,-0.14
9789.99,10920.0,9432.09,10870.27,3231.00400518,33244245.063868,10289.137683076,0.1
10328.84,12195.0,9850.0,11376.18,7879.8176372,87605206.278248,11117.669254764,0.09
11342.31,11715.61,9001.01,9790.0,7147.00743914,72213247.303898,10103.983788855,-0.14
9692.73,10370.0,9651.66,10357.18,3600.05417076,35869044.885033,9963.4736544701,0.06
10328.84,12195.0,9850.0,11376.18,7879.8176372,87605206.278248,11117.669254764,0.09
9531.43,9749.1,9254.12,9675.27,1953.36623377,18661103.637333,9553.305117452,0.01
9692.73,10370.0,9651.66,10357.18,3600.05417076,35869044.885033,9963.4736544701,0.06
9397.65,9897.0,9209.04,9525.19,1869.84200916,17834501.625455,9537.9724800742,0.01
9531.43,9749.1,9254.12,9675.27,1953.36623377,18661103.637333,9553.305117452,0.01
8999.99,9870.0,8867.43,9378.39,3715.41355188,35047166.800003,9432.9113867469,0.04
9397.65,9897.0,9209.04,9525.19,1869.84200916,17834501.625455,9537.9724800742,0.01
8452.11,9000.0,8434.26,8999.99,1873.87207171,16266941.304652,8680.9241411062,0.06
8999.99,9870.0,8867.43,9378.39,3715.41355188,35047166.800003,9432.9113867469,0.04
8267.65,8518.61,8160.0,8433.95,1676.98019604,13963693.16675,8326.6893668294,0.02
8452.11,9000.0,8434.26,8999.99,1873.87207171,16266941.304652,8680.9241411062,0.06
8121.01,8295.0,8067.35,8269.89,927.34091381,7572019.4828423,8165.3029323731,0.02
8267.65,8518.61,8160.0,8433.95,1676.98019604,13963693.16675,8326.6893668294,0.02
8324.09,8338.17,7980.01,8105.2,1624.33206014,13228176.10623,8143.7634772102,-0.03
8121.01,8295.0,8067.35,8269.89,927.34091381,7572019.4828423,8165.3029323731,0.02
8008.32,8447.0,8008.32,8323.92,1792.95390619,14796240.286695,8252.4376313367,0.04
8324.09,8338.17,7980.01,8105.2,1624.33206014,13228176.10623,8143.7634772102,-0.03
7885.29,8379.98,7831.69,8004.47,2404.81805672,19526598.86029,8119.7822037826,0.01
8008.32,8447.0,8008.32,8323.92,1792.95390619,14796240.286695,8252.4376313367,0.04
7772.6,7937.19,7692.79,7891.43,747.93543457,5839321.4036301,7807.2533185798,0.02
7885.29,8379.98,7831.69,8004.47,2404.81805672,19526598.86029,8119.7822037826,0.01
7300.72,7797.99,7265.9,7773.09,1197.17992728,8955914.536559,7480.842547124,0.06
7772.6,7937.19,7692.79,7891.43,747.93543457,5839321.4036301,7807.2533185798,0.02
7232.71,7400.0,7129.42,7301.41,1128.2924782,8188305.2749146,7257.2541545058,0.01
7300.72,7797.99,7265.9,7773.09,1197.17992728,8955914.536559,7480.842547124,0.06
6992.7,7321.0,6905.0,7234.82,1434.34258928,10233931.208659,7134.9280744684,0.03
7232.71,7400.0,7129.42,7301.41,1128.2924782,8188305.2749146,7257.2541545058,0.01
7091.33,7120.0,6816.8,6992.7,1041.35143575,7243084.6823134,6955.4661698784,-0.01
6992.7,7321.0,6905.0,7234.82,1434.34258928,10233931.208659,7134.9280744684,0.03
6761.13,7150.0,6668.0,7091.33,1122.99478262,7790810.6687149,6937.5306005773,0.05
7091.33,7120.0,6816.8,6992.7,1041.35143575,7243084.6823134,6955.4661698784,-0.01
7008.16,7037.79,6670.78,6756.07,537.77208724,3675302.4188445,6834.3123528543,-0.04
6761.13,7150.0,6668.0,7091.33,1122.99478262,7790810.6687149,6937.5306005773,0.05
7071.17,7117.88,6876.0,7022.8,349.91940014,2451036.7746849,7004.5752642015,-0.01
